x,y,model,repetition,subsample,train_dataset,eval_dataset
5.75,0.4858796038722599,lr    ,4,6,aumc,aumc
5.75,0.46485869431074905,lr    ,4,7,aumc,aumc
5.75,0.4499007936507936,lr    ,4,8,aumc,aumc
5.75,0.44496080627099666,lr    ,4,9,aumc,aumc
5.0,0.29361540339084885,mews  ,0,0,aumc,aumc
5.0,0.29717035555641025,mews  ,0,1,aumc,aumc
5.0,0.29702243958573066,mews  ,0,2,aumc,aumc
5.0,0.3085278053624627,mews  ,0,3,aumc,aumc
5.0,0.2925170068027211,mews  ,0,4,aumc,aumc
5.0,0.29494157879737815,mews  ,0,5,aumc,aumc
5.0,0.291239300472255,mews  ,0,6,aumc,aumc
5.0,0.2914424860853432,mews  ,0,7,aumc,aumc
5.0,0.2852385102447353,mews  ,0,8,aumc,aumc
5.0,0.28635458167330674,mews  ,0,9,aumc,aumc
5.0,0.29361540339084885,mews  ,1,0,aumc,aumc
5.0,0.29717035555641025,mews  ,1,1,aumc,aumc
5.0,0.29702243958573066,mews  ,1,2,aumc,aumc
5.0,0.3085278053624627,mews  ,1,3,aumc,aumc
5.0,0.2925170068027211,mews  ,1,4,aumc,aumc
5.0,0.29494157879737815,mews  ,1,5,aumc,aumc
5.0,0.291239300472255,mews  ,1,6,aumc,aumc
5.0,0.2914424860853432,mews  ,1,7,aumc,aumc
5.0,0.2852385102447353,mews  ,1,8,aumc,aumc
5.0,0.28635458167330674,mews  ,1,9,aumc,aumc
5.0,0.29361540339084885,mews  ,2,0,aumc,aumc
5.0,0.29717035555641025,mews  ,2,1,aumc,aumc
5.0,0.29702243958573066,mews  ,2,2,aumc,aumc
5.0,0.3085278053624627,mews  ,2,3,aumc,aumc
5.0,0.2925170068027211,mews  ,2,4,aumc,aumc
5.0,0.29494157879737815,mews  ,2,5,aumc,aumc
5.0,0.291239300472255,mews  ,2,6,aumc,aumc
5.0,0.2914424860853432,mews  ,2,7,aumc,aumc
5.0,0.2852385102447353,mews  ,2,8,aumc,aumc
5.0,0.28635458167330674,mews  ,2,9,aumc,aumc
5.0,0.29361540339084885,mews  ,3,0,aumc,aumc
5.0,0.29717035555641025,mews  ,3,1,aumc,aumc
5.0,0.29702243958573066,mews  ,3,2,aumc,aumc
5.0,0.3085278053624627,mews  ,3,3,aumc,aumc
5.0,0.2925170068027211,mews  ,3,4,aumc,aumc
5.0,0.29494157879737815,mews  ,3,5,aumc,aumc
5.0,0.291239300472255,mews  ,3,6,aumc,aumc
5.0,0.2914424860853432,mews  ,3,7,aumc,aumc
5.0,0.2852385102447353,mews  ,3,8,aumc,aumc
5.0,0.28635458167330674,mews  ,3,9,aumc,aumc
5.0,0.29361540339084885,mews  ,4,0,aumc,aumc
5.0,0.29717035555641025,mews  ,4,1,aumc,aumc
5.0,0.29702243958573066,mews  ,4,2,aumc,aumc
5.0,0.3085278053624627,mews  ,4,3,aumc,aumc
5.0,0.2925170068027211,mews  ,4,4,aumc,aumc
5.0,0.29494157879737815,mews  ,4,5,aumc,aumc
5.0,0.291239300472255,mews  ,4,6,aumc,aumc
5.0,0.2914424860853432,mews  ,4,7,aumc,aumc
5.0,0.2852385102447353,mews  ,4,8,aumc,aumc
5.0,0.28635458167330674,mews  ,4,9,aumc,aumc
1.0,0.30473637176050045,news  ,0,0,aumc,aumc
1.0,0.3212051759537793,news  ,0,1,aumc,aumc
1.0,0.29892241827212834,news  ,0,2,aumc,aumc
1.0,0.32125866602916564,news  ,0,3,aumc,aumc
1.0,0.31543246070890674,news  ,0,4,aumc,aumc
1.0,0.30751320316437664,news  ,0,5,aumc,aumc
1.0,0.31655802584099635,news  ,0,6,aumc,aumc
1.0,0.32058571122076807,news  ,0,7,aumc,aumc
1.0,0.3095963484995591,news  ,0,8,aumc,aumc
1.0,0.29844668432817284,news  ,0,9,aumc,aumc
1.0,0.30473637176050045,news  ,1,0,aumc,aumc
1.0,0.3212051759537793,news  ,1,1,aumc,aumc
1.0,0.29892241827212834,news  ,1,2,aumc,aumc
1.0,0.32125866602916564,news  ,1,3,aumc,aumc
1.0,0.31543246070890674,news  ,1,4,aumc,aumc
1.0,0.30751320316437664,news  ,1,5,aumc,aumc
1.0,0.31655802584099635,news  ,1,6,aumc,aumc
1.0,0.32058571122076807,news  ,1,7,aumc,aumc
1.0,0.3095963484995591,news  ,1,8,aumc,aumc
1.0,0.29844668432817284,news  ,1,9,aumc,aumc
1.0,0.30473637176050045,news  ,2,0,aumc,aumc
1.0,0.3212051759537793,news  ,2,1,aumc,aumc
1.0,0.29892241827212834,news  ,2,2,aumc,aumc
1.0,0.32125866602916564,news  ,2,3,aumc,aumc
1.0,0.31543246070890674,news  ,2,4,aumc,aumc
1.0,0.30751320316437664,news  ,2,5,aumc,aumc
1.0,0.31655802584099635,news  ,2,6,aumc,aumc
1.0,0.32058571122076807,news  ,2,7,aumc,aumc
1.0,0.3095963484995591,news  ,2,8,aumc,aumc
1.0,0.29844668432817284,news  ,2,9,aumc,aumc
1.0,0.30473637176050045,news  ,3,0,aumc,aumc
1.0,0.3212051759537793,news  ,3,1,aumc,aumc
1.0,0.29892241827212834,news  ,3,2,aumc,aumc
1.0,0.32125866602916564,news  ,3,3,aumc,aumc
1.0,0.31543246070890674,news  ,3,4,aumc,aumc
1.0,0.30751320316437664,news  ,3,5,aumc,aumc
1.0,0.31655802584099635,news  ,3,6,aumc,aumc
1.0,0.32058571122076807,news  ,3,7,aumc,aumc
1.0,0.3095963484995591,news  ,3,8,aumc,aumc
1.0,0.29844668432817284,news  ,3,9,aumc,aumc
1.0,0.30473637176050045,news  ,4,0,aumc,aumc
1.0,0.3212051759537793,news  ,4,1,aumc,aumc
1.0,0.29892241827212834,news  ,4,2,aumc,aumc
1.0,0.32125866602916564,news  ,4,3,aumc,aumc
1.0,0.31543246070890674,news  ,4,4,aumc,aumc
1.0,0.30751320316437664,news  ,4,5,aumc,aumc
1.0,0.31655802584099635,news  ,4,6,aumc,aumc
1.0,0.32058571122076807,news  ,4,7,aumc,aumc
1.0,0.3095963484995591,news  ,4,8,aumc,aumc
1.0,0.29844668432817284,news  ,4,9,aumc,aumc
3.5,0.28301538006506943,qsofa ,0,0,aumc,aumc
3.5,0.2671366367508366,qsofa ,0,1,aumc,aumc
3.5,0.2760388286815604,qsofa ,0,2,aumc,aumc
3.5,0.2850235849056604,qsofa ,0,3,aumc,aumc
3.5,0.2713211197536226,qsofa ,0,4,aumc,aumc
3.5,0.271671090685789,qsofa ,0,5,aumc,aumc
3.5,0.2877798153191766,qsofa ,0,6,aumc,aumc
3.5,0.2731306081754735,qsofa ,0,7,aumc,aumc
3.5,0.2711470240441466,qsofa ,0,8,aumc,aumc
3.5,0.26594329583460014,qsofa ,0,9,aumc,aumc
3.5,0.28301538006506943,qsofa ,1,0,aumc,aumc
3.5,0.2671366367508366,qsofa ,1,1,aumc,aumc
3.5,0.2760388286815604,qsofa ,1,2,aumc,aumc
3.5,0.2850235849056604,qsofa ,1,3,aumc,aumc
3.5,0.2713211197536226,qsofa ,1,4,aumc,aumc
3.5,0.271671090685789,qsofa ,1,5,aumc,aumc
3.5,0.2877798153191766,qsofa ,1,6,aumc,aumc
3.5,0.2731306081754735,qsofa ,1,7,aumc,aumc
3.5,0.2711470240441466,qsofa ,1,8,aumc,aumc
3.5,0.26594329583460014,qsofa ,1,9,aumc,aumc
3.5,0.28301538006506943,qsofa ,2,0,aumc,aumc
3.5,0.2671366367508366,qsofa ,2,1,aumc,aumc
3.5,0.2760388286815604,qsofa ,2,2,aumc,aumc
3.5,0.2850235849056604,qsofa ,2,3,aumc,aumc
3.5,0.2713211197536226,qsofa ,2,4,aumc,aumc
3.5,0.271671090685789,qsofa ,2,5,aumc,aumc
3.5,0.2877798153191766,qsofa ,2,6,aumc,aumc
3.5,0.2731306081754735,qsofa ,2,7,aumc,aumc
3.5,0.2711470240441466,qsofa ,2,8,aumc,aumc
3.5,0.26594329583460014,qsofa ,2,9,aumc,aumc
3.5,0.28301538006506943,qsofa ,3,0,aumc,aumc
3.5,0.2671366367508366,qsofa ,3,1,aumc,aumc
3.5,0.2760388286815604,qsofa ,3,2,aumc,aumc
3.5,0.2850235849056604,qsofa ,3,3,aumc,aumc
3.5,0.2713211197536226,qsofa ,3,4,aumc,aumc
3.5,0.271671090685789,qsofa ,3,5,aumc,aumc
