,AUC,rep,subsample,model,train_dataset,eval_dataset
0,0.7170942527705187,3,7,mews,aumc,aumc
0,0.7120696131836846,3,8,mews,aumc,aumc
0,0.707389722435048,3,9,mews,aumc,aumc
0,0.7226933861423346,0,0,mews,aumc,aumc
0,0.7215210331215478,0,1,mews,aumc,aumc
0,0.7216733162154895,0,2,mews,aumc,aumc
0,0.7337039363919309,0,3,mews,aumc,aumc
0,0.7155828620247713,0,4,mews,aumc,aumc
0,0.713786971620159,0,5,mews,aumc,aumc
0,0.71639036414874,0,6,mews,aumc,aumc
0,0.7170942527705187,0,7,mews,aumc,aumc
0,0.7120696131836846,0,8,mews,aumc,aumc
0,0.707389722435048,0,9,mews,aumc,aumc
0,0.7226933861423346,4,0,mews,aumc,aumc
0,0.7215210331215478,4,1,mews,aumc,aumc
0,0.7216733162154895,4,2,mews,aumc,aumc
0,0.7337039363919309,4,3,mews,aumc,aumc
0,0.7155828620247713,4,4,mews,aumc,aumc
0,0.713786971620159,4,5,mews,aumc,aumc
0,0.71639036414874,4,6,mews,aumc,aumc
0,0.7170942527705187,4,7,mews,aumc,aumc
0,0.7120696131836846,4,8,mews,aumc,aumc
0,0.707389722435048,4,9,mews,aumc,aumc
0,0.7292771180354524,4,0,news,aumc,aumc
0,0.7332832037771315,4,1,news,aumc,aumc
0,0.7218546568605679,4,2,news,aumc,aumc
0,0.7361217314924328,4,3,news,aumc,aumc
0,0.7315551595100742,4,4,news,aumc,aumc
0,0.7239304311969121,4,5,news,aumc,aumc
0,0.7393346375797287,4,6,news,aumc,aumc
0,0.7312721728841628,4,7,news,aumc,aumc
0,0.734365049667819,4,8,news,aumc,aumc
0,0.71811023030775,4,9,news,aumc,aumc
0,0.7292771180354524,0,0,news,aumc,aumc
0,0.7332832037771315,0,1,news,aumc,aumc
0,0.7218546568605679,0,2,news,aumc,aumc
0,0.7361217314924328,0,3,news,aumc,aumc
0,0.7315551595100742,0,4,news,aumc,aumc
0,0.7239304311969121,0,5,news,aumc,aumc
0,0.7393346375797287,0,6,news,aumc,aumc
0,0.7312721728841628,0,7,news,aumc,aumc
0,0.734365049667819,0,8,news,aumc,aumc
0,0.71811023030775,0,9,news,aumc,aumc
0,0.7292771180354524,3,0,news,aumc,aumc
0,0.7332832037771315,3,1,news,aumc,aumc
0,0.7218546568605679,3,2,news,aumc,aumc
0,0.7361217314924328,3,3,news,aumc,aumc
0,0.7315551595100742,3,4,news,aumc,aumc
0,0.7239304311969121,3,5,news,aumc,aumc
0,0.7393346375797287,3,6,news,aumc,aumc
0,0.7312721728841628,3,7,news,aumc,aumc
0,0.734365049667819,3,8,news,aumc,aumc
0,0.71811023030775,3,9,news,aumc,aumc
0,0.7292771180354524,2,0,news,aumc,aumc
0,0.7332832037771315,2,1,news,aumc,aumc
0,0.7218546568605679,2,2,news,aumc,aumc
0,0.7361217314924328,2,3,news,aumc,aumc
0,0.7315551595100742,2,4,news,aumc,aumc
0,0.7239304311969121,2,5,news,aumc,aumc
0,0.7393346375797287,2,6,news,aumc,aumc
0,0.7312721728841628,2,7,news,aumc,aumc
0,0.734365049667819,2,8,news,aumc,aumc
0,0.71811023030775,2,9,news,aumc,aumc
0,0.7292771180354524,1,0,news,aumc,aumc
0,0.7332832037771315,1,1,news,aumc,aumc
0,0.7218546568605679,1,2,news,aumc,aumc
0,0.7361217314924328,1,3,news,aumc,aumc
0,0.7315551595100742,1,4,news,aumc,aumc
0,0.7239304311969121,1,5,news,aumc,aumc
0,0.7393346375797287,1,6,news,aumc,aumc
0,0.7312721728841628,1,7,news,aumc,aumc
0,0.734365049667819,1,8,news,aumc,aumc
0,0.71811023030775,1,9,news,aumc,aumc
0,0.6547327573296421,0,0,qsofa,aumc,aumc
0,0.634752464799609,0,1,qsofa,aumc,aumc
0,0.6460776902783298,0,2,qsofa,aumc,aumc
0,0.6572401430385949,0,3,qsofa,aumc,aumc
0,0.6449910189949486,0,4,qsofa,aumc,aumc
0,0.6455837634267557,0,5,qsofa,aumc,aumc
0,0.6585851729057419,0,6,qsofa,aumc,aumc
0,0.6457784631035319,0,7,qsofa,aumc,aumc
0,0.6444969167397169,0,8,qsofa,aumc,aumc
0,0.6367784951910556,0,9,qsofa,aumc,aumc
0,0.6547327573296421,1,0,qsofa,aumc,aumc
0,0.634752464799609,1,1,qsofa,aumc,aumc
0,0.6460776902783298,1,2,qsofa,aumc,aumc
0,0.6572401430385949,1,3,qsofa,aumc,aumc
0,0.6449910189949486,1,4,qsofa,aumc,aumc
0,0.6455837634267557,1,5,qsofa,aumc,aumc
0,0.6585851729057419,1,6,qsofa,aumc,aumc
0,0.6457784631035319,1,7,qsofa,aumc,aumc
0,0.6444969167397169,1,8,qsofa,aumc,aumc
0,0.6367784951910556,1,9,qsofa,aumc,aumc
0,0.6547327573296421,2,0,qsofa,aumc,aumc
0,0.634752464799609,2,1,qsofa,aumc,aumc
0,0.6460776902783298,2,2,qsofa,aumc,aumc
0,0.6572401430385949,2,3,qsofa,aumc,aumc
0,0.6449910189949486,2,4,qsofa,aumc,aumc
0,0.6455837634267557,2,5,qsofa,aumc,aumc
0,0.6585851729057419,2,6,qsofa,aumc,aumc
0,0.6457784631035319,2,7,qsofa,aumc,aumc
0,0.6444969167397169,2,8,qsofa,aumc,aumc
0,0.6367784951910556,2,9,qsofa,aumc,aumc
0,0.6547327573296421,3,0,qsofa,aumc,aumc
0,0.634752464799609,3,1,qsofa,aumc,aumc
0,0.6460776902783298,3,2,qsofa,aumc,aumc
0,0.6572401430385949,3,3,qsofa,aumc,aumc
0,0.6449910189949486,3,4,qsofa,aumc,aumc
0,0.6455837634267557,3,5,qsofa,aumc,aumc
0,0.6585851729057419,3,6,qsofa,aumc,aumc
0,0.6457784631035319,3,7,qsofa,aumc,aumc
0,0.6444969167397169,3,8,qsofa,aumc,aumc
0,0.6367784951910556,3,9,qsofa,aumc,aumc
0,0.6547327573296421,4,0,qsofa,aumc,aumc
0,0.634752464799609,4,1,qsofa,aumc,aumc
0,0.6460776902783298,4,2,qsofa,aumc,aumc
0,0.6572401430385949,4,3,qsofa,aumc,aumc
0,0.6449910189949486,4,4,qsofa,aumc,aumc
0,0.6455837634267557,4,5,qsofa,aumc,aumc
0,0.6585851729057419,4,6,qsofa,aumc,aumc
0,0.6457784631035319,4,7,qsofa,aumc,aumc
0,0.6444969167397169,4,8,qsofa,aumc,aumc
0,0.6367784951910556,4,9,qsofa,aumc,aumc
0,0.6476045902816974,2,0,sirs,aumc,aumc
0,0.6330025456720959,2,1,sirs,aumc,aumc
0,0.6401317730463618,2,2,sirs,aumc,aumc
0,0.646948529436743,2,3,sirs,aumc,aumc
0,0.6301205152475453,2,4,sirs,aumc,aumc
0,0.6377872618863261,2,5,sirs,aumc,aumc
0,0.6415327187427617,2,6,sirs,aumc,aumc
0,0.6384370789049936,2,7,sirs,aumc,aumc
0,0.6409925733291229,2,8,sirs,aumc,aumc
0,0.630384314449401,2,9,sirs,aumc,aumc
0,0.6476045902816974,1,0,sirs,aumc,aumc
0,0.6330025456720959,1,1,sirs,aumc,aumc
0,0.6401317730463618,1,2,sirs,aumc,aumc
0,0.646948529436743,1,3,sirs,aumc,aumc
0,0.6301205152475453,1,4,sirs,aumc,aumc
0,0.6377872618863261,1,5,sirs,aumc,aumc
0,0.6415327187427617,1,6,sirs,aumc,aumc
0,0.6384370789049936,1,7,sirs,aumc,aumc
0,0.6409925733291229,1,8,sirs,aumc,aumc
0,0.630384314449401,1,9,sirs,aumc,aumc
0,0.6476045902816974,4,0,sirs,aumc,aumc
0,0.6330025456720959,4,1,sirs,aumc,aumc
0,0.6401317730463618,4,2,sirs,aumc,aumc
0,0.646948529436743,4,3,sirs,aumc,aumc
0,0.6301205152475453,4,4,sirs,aumc,aumc
0,0.6377872618863261,4,5,sirs,aumc,aumc
0,0.6415327187427617,4,6,sirs,aumc,aumc
0,0.6384370789049936,4,7,sirs,aumc,aumc
0,0.6409925733291229,4,8,sirs,aumc,aumc
0,0.630384314449401,4,9,sirs,aumc,aumc
0,0.6476045902816974,0,0,sirs,aumc,aumc
0,0.6330025456720959,0,1,sirs,aumc,aumc
0,0.6401317730463618,0,2,sirs,aumc,aumc
0,0.646948529436743,0,3,sirs,aumc,aumc
0,0.6301205152475453,0,4,sirs,aumc,aumc
0,0.6377872618863261,0,5,sirs,aumc,aumc
0,0.6415327187427617,0,6,sirs,aumc,aumc
0,0.6384370789049936,0,7,sirs,aumc,aumc
0,0.6409925733291229,0,8,sirs,aumc,aumc
0,0.630384314449401,0,9,sirs,aumc,aumc
0,0.6476045902816974,3,0,sirs,aumc,aumc
0,0.6330025456720959,3,1,sirs,aumc,aumc
0,0.6401317730463618,3,2,sirs,aumc,aumc
0,0.646948529436743,3,3,sirs,aumc,aumc
0,0.6301205152475453,3,4,sirs,aumc,aumc
0,0.6377872618863261,3,5,sirs,aumc,aumc
0,0.6415327187427617,3,6,sirs,aumc,aumc
0,0.6384370789049936,3,7,sirs,aumc,aumc
0,0.6409925733291229,3,8,sirs,aumc,aumc
0,0.630384314449401,3,9,sirs,aumc,aumc
0,0.7096356698299862,0,0,sofa,aumc,aumc
0,0.7122199395491133,0,1,sofa,aumc,aumc
0,0.712554731051262,0,2,sofa,aumc,aumc
0,0.7143871368109204,0,3,sofa,aumc,aumc
0,0.7094846092857867,0,4,sofa,aumc,aumc
0,0.713017219034727,0,5,sofa,aumc,aumc
0,0.71613137263783,0,6,sofa,aumc,aumc
0,0.713026485869211,0,7,sofa,aumc,aumc
0,0.7076844777318856,0,8,sofa,aumc,aumc
0,0.7015250710554699,0,9,sofa,aumc,aumc
0,0.7096356698299862,3,0,sofa,aumc,aumc
0,0.7122199395491133,3,1,sofa,aumc,aumc
0,0.712554731051262,3,2,sofa,aumc,aumc
0,0.7143871368109204,3,3,sofa,aumc,aumc
0,0.7094846092857867,3,4,sofa,aumc,aumc
0,0.713017219034727,3,5,sofa,aumc,aumc
0,0.71613137263783,3,6,sofa,aumc,aumc
0,0.713026485869211,3,7,sofa,aumc,aumc
0,0.7076844777318856,3,8,sofa,aumc,aumc
0,0.7015250710554699,3,9,sofa,aumc,aumc
0,0.7096356698299862,4,0,sofa,aumc,aumc
0,0.7122199395491133,4,1,sofa,aumc,aumc
0,0.712554731051262,4,2,sofa,aumc,aumc
0,0.7143871368109204,4,3,sofa,aumc,aumc
0,0.7094846092857867,4,4,sofa,aumc,aumc
0,0.713017219034727,4,5,sofa,aumc,aumc
0,0.71613137263783,4,6,sofa,aumc,aumc
0,0.713026485869211,4,7,sofa,aumc,aumc
0,0.7076844777318856,4,8,sofa,aumc,aumc
0,0.7015250710554699,4,9,sofa,aumc,aumc
0,0.7096356698299862,1,0,sofa,aumc,aumc
0,0.7122199395491133,1,1,sofa,aumc,aumc
0,0.712554731051262,1,2,sofa,aumc,aumc
0,0.7143871368109204,1,3,sofa,aumc,aumc
0,0.7094846092857867,1,4,sofa,aumc,aumc
0,0.713017219034727,1,5,sofa,aumc,aumc
0,0.71613137263783,1,6,sofa,aumc,aumc
0,0.713026485869211,1,7,sofa,aumc,aumc
0,0.7076844777318856,1,8,sofa,aumc,aumc
0,0.7015250710554699,1,9,sofa,aumc,aumc
0,0.7096356698299862,2,0,sofa,aumc,aumc
0,0.7122199395491133,2,1,sofa,aumc,aumc
0,0.712554731051262,2,2,sofa,aumc,aumc
0,0.7143871368109204,2,3,sofa,aumc,aumc
0,0.7094846092857867,2,4,sofa,aumc,aumc
0,0.713017219034727,2,5,sofa,aumc,aumc
0,0.71613137263783,2,6,sofa,aumc,aumc
0,0.713026485869211,2,7,sofa,aumc,aumc
0,0.7076844777318856,2,8,sofa,aumc,aumc
0,0.7015250710554699,2,9,sofa,aumc,aumc
0,0.686257170065528,3,0,AttentionModel,aumc,eicu
0,0.6949897745485089,3,1,AttentionModel,aumc,eicu
0,0.6857722095124993,3,2,AttentionModel,aumc,eicu
0,0.6974096362946205,3,3,AttentionModel,aumc,eicu
0,0.6976362506919984,3,4,AttentionModel,aumc,eicu
0,0.6926022128609537,3,5,AttentionModel,aumc,eicu
0,0.6909930000997399,3,6,AttentionModel,aumc,eicu
0,0.6904800519774877,3,7,AttentionModel,aumc,eicu
0,0.6958616275391466,3,8,AttentionModel,aumc,eicu
